USE_MM,SBWY_ROUT_LN_NM,STTN,JOB_YMD,HR_4_GET_ON_NOPE,HR_4_GET_OFF_NOPE,HR_5_GET_ON_NOPE,HR_5_GET_OFF_NOPE,HR_6_GET_ON_NOPE,HR_6_GET_OFF_NOPE,HR_7_GET_ON_NOPE,HR_7_GET_OFF_NOPE,HR_8_GET_ON_NOPE,HR_8_GET_OFF_NOPE,HR_9_GET_ON_NOPE,HR_9_GET_OFF_NOPE,HR_10_GET_ON_NOPE,HR_10_GET_OFF_NOPE,HR_11_GET_ON_NOPE,HR_11_GET_OFF_NOPE,HR_12_GET_ON_NOPE,HR_12_GET_OFF_NOPE,HR_13_GET_ON_NOPE,HR_13_GET_OFF_NOPE,HR_14_GET_ON_NOPE,HR_14_GET_OFF_NOPE,HR_15_GET_ON_NOPE,HR_15_GET_OFF_NOPE,HR_16_GET_ON_NOPE,HR_16_GET_OFF_NOPE,HR_17_GET_ON_NOPE,HR_17_GET_OFF_NOPE,HR_18_GET_ON_NOPE,HR_18_GET_OFF_NOPE,HR_19_GET_ON_NOPE,HR_19_GET_OFF_NOPE,HR_20_GET_ON_NOPE,HR_20_GET_OFF_NOPE,HR_21_GET_ON_NOPE,HR_21_GET_OFF_NOPE,HR_22_GET_ON_NOPE,HR_22_GET_OFF_NOPE,HR_23_GET_ON_NOPE,HR_23_GET_OFF_NOPE,HR_0_GET_ON_NOPE,HR_0_GET_OFF_NOPE,HR_1_GET_ON_NOPE,HR_1_GET_OFF_NOPE,HR_2_GET_ON_NOPE,HR_2_GET_OFF_NOPE,HR_3_GET_ON_NOPE,HR_3_GET_OFF_NOPE
202307,2호선,왕십리(성동구청),20230803,893.0,5.0,7049.0,1131.0,9858.0,7298.0,25669.0,13943.0,44614.0,27181.0,28837.0,18578.0,19141.0,15154.0,19266.0,16223.0,21969.0,18449.0,22262.0,19563.0,21946.0,19762.0,23902.0,21114.0,28864.0,25379.0,33093.0,35193.0,34374.0,55634.0,21928.0,33846.0,21517.0,21516.0,24660.0,19494.0,24692.0,18931.0,13554.0,12725.0,2270.0,5006.0,0.0,100.0,0.0,0.0,0.0,0.0
202307,2호선,뚝섬,20230803,9.0,0.0,3385.0,2530.0,8300.0,16846.0,18244.0,40628.0,26049.0,136782.0,16997.0,93266.0,14608.0,40730.0,16190.0,33730.0,20452.0,35362.0,24711.0,37302.0,30043.0,32656.0,36636.0,33334.0,46851.0,34798.0,75169.0,40344.0,131399.0,48226.0,65155.0,28099.0,47245.0,15237.0,43002.0,13316.0,28178.0,11951.0,11024.0,7374.0,1704.0,2521.0,1.0,63.0,0.0,0.0,0.0,0.0
202307,2호선,성수,20230803,98.0,0.0,5720.0,3894.0,9478.0,31426.0,22647.0,74862.0,31551.0,259382.0,23602.0,153257.0,21067.0,73658.0,25081.0,61231.0,32412.0,64810.0,40428.0,68072.0,47676.0,65286.0,60326.0,63358.0,76044.0,63989.0,132633.0,68127.0,246887.0,74904.0,118245.0,44294.0,86096.0,22043.0,73656.0,17544.0,52556.0,15309.0,21722.0,11721.0,3102.0,5951.0,4.0,853.0,0.0,1.0,0.0,0.0
202307,3호선,옥수,20230803,238.0,14.0,3093.0,963.0,9622.0,4934.0,22730.0,7974.0,31006.0,13864.0,21435.0,10954.0,15358.0,8877.0,13727.0,9855.0,13918.0,11353.0,13625.0,12438.0,13337.0,13635.0,13544.0,15529.0,15344.0,17865.0,16992.0,24588.0,17022.0,33686.0,11151.0,23964.0,9491.0,16026.0,8457.0,14708.0,5704.0,14265.0,2327.0,7185.0,393.0,1871.0,0.0,0.0,0.0,0.0,0.0,0.0
202307,5호선,행당,20230803,12.0,0.0,4502.0,695.0,12269.0,2574.0,31255.0,4923.0,43041.0,8891.0,21594.0,6773.0,13803.0,5688.0,12246.0,6512.0,12073.0,7711.0,11075.0,8545.0,9670.0,10082.0,10269.0,11413.0,9887.0,13986.0,10598.0,19723.0,10203.0,32521.0,6737.0,20040.0,5108.0,13132.0,3997.0,13064.0,3049.0,11610.0,1047.0,6789.0,249.0,1947.0,0.0,0.0,0.0,0.0,0.0,0.0
202307,5호선,왕십리(성동구청),20230803,47.0,0.0,2287.0,448.0,2413.0,2895.0,5668.0,6520.0,8806.0,17675.0,5031.0,9369.0,4824.0,7596.0,5398.0,7377.0,5843.0,7952.0,6631.0,8848.0,6856.0,8427.0,7697.0,8350.0,9231.0,9267.0,10674.0,11771.0,14967.0,17697.0,8376.0,9541.0,7877.0,5623.0,8199.0,4804.0,7089.0,4100.0,3075.0,2652.0,549.0,1968.0,2.0,232.0,0.0,0.0,0.0,0.0
202307,경원선,옥수,20230803,0.0,0.0,4.0,17.0,8.0,85.0,60.0,22.0,175.0,262.0,25.0,16.0,45.0,142.0,15.0,190.0,11.0,76.0,16.0,23.0,21.0,17.0,13.0,14.0,368.0,57.0,382.0,117.0,55.0,45.0,380.0,21.0,54.0,13.0,70.0,17.0,13.0,10.0,15.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
202307,경원선,응봉,20230803,173.0,0.0,1398.0,216.0,3130.0,1085.0,7576.0,1421.0,7276.0,2223.0,5118.0,1484.0,3602.0,1456.0,3067.0,1405.0,2657.0,1609.0,2606.0,1987.0,2356.0,2297.0,2369.0,2581.0,2592.0,3426.0,2646.0,4094.0,2459.0,5086.0,1521.0,4983.0,1259.0,3082.0,1056.0,2710.0,885.0,2591.0,318.0,1614.0,26.0,499.0,0.0,1.0,0.0,0.0,0.0,0.0
202307,경원선,왕십리(성동구청),20230803,817.0,4.0,6161.0,1341.0,9118.0,6661.0,28747.0,12656.0,43883.0,22105.0,27695.0,19249.0,18274.0,19539.0,18794.0,22723.0,22248.0,25062.0,24584.0,26860.0,25256.0,26500.0,27884.0,29274.0,32236.0,34622.0,36076.0,47060.0,34584.0,69095.0,26866.0,48435.0,27224.0,29300.0,30128.0,24108.0,28389.0,22613.0,12693.0,12128.0,1226.0,4875.0,0.0,0.0,0.0,0.0,0.0,0.0
202307,분당선,서울숲,20230803,132.0,0.0,2596.0,652.0,4794.0,6135.0,12715.0,24902.0,21933.0,47376.0,14999.0,37497.0,9370.0,24208.0,9992.0,20341.0,12874.0,21728.0,15299.0,23110.0,17788.0,21501.0,22232.0,21403.0,28088.0,22316.0,44979.0,24508.0,55451.0,31711.0,32935.0,19832.0,25280.0,9841.0,21196.0,8174.0,13052.0,7820.0,3642.0,3798.0,124.0,903.0,0.0,0.0,0.0,0.0,0.0,0.0
